Genotype,Gender,Param,Weight,Assay.Date
2,Female,10.5,null,23/01/2009
2,Female,5.1,null,23/01/2009
2,Female,6.4,null,23/01/2009
2,Female,16.7,null,23/01/2009
2,Female,15.2,null,16/03/2009
2,Female,8.4,null,16/03/2009
2,Female,1.5,null,16/03/2009
2,Female,20.1,null,16/03/2009
2,Female,11.2,null,16/03/2009
2,Female,0,null,16/03/2009
2,Male,5.1,25.5,16/09/2009
2,Male,3.6,26.4,16/09/2009
2,Male,4.6,24.9,16/09/2009
2,Male,0.1,27.6,16/09/2009
2,Male,9.9,27.6,16/09/2009
2,Male,14.1,27.6,16/09/2009
2,Male,0.1,26.4,16/09/2009
2,Male,18.8,28.6,16/09/2009
1,Female,15.9,null,23/01/2009
1,Female,7.5,null,23/01/2009
1,Female,6.4,null,23/01/2009
1,Female,8.7,null,23/01/2009
1,Male,6.8,null,27/01/2009
1,Female,7.2,null,27/01/2009
1,Female,7.6,null,27/01/2009
1,Female,28.3,null,06/03/2009
1,Female,0.5,null,06/03/2009
1,Female,24.6,null,06/03/2009
1,Male,7.4,null,06/03/2009
1,Male,40.1,null,06/03/2009
1,Male,26.1,null,06/03/2009
1,Male,8.8,null,06/03/2009
1,Male,2.7,null,06/03/2009
1,Male,5.6,null,06/03/2009
1,Female,0.5,null,16/03/2009
1,Female,19.5,null,16/03/2009
1,Female,16.1,null,16/03/2009
1,Female,11.6,null,23/03/2009
1,Female,5.4,26.2,26/03/2009
1,Female,7.1,23.5,26/03/2009
1,Female,12.2,23.1,26/03/2009
1,Female,17.3,null,23/03/2009
1,Female,0,23.4,17/08/2009
1,Female,5.1,24,17/08/2009
1,Female,46.8,24.5,17/08/2009
1,Male,9.6,27.6,16/09/2009
1,Male,60.9,27.8,16/09/2009
1,Male,24.7,27.6,16/09/2009
1,Male,48.7,27,16/09/2009
1,Male,321.3,21.7,16/09/2009
1,Male,42.7,25.2,16/09/2009
1,Male,45,27,16/09/2009
1,Male,17.4,25.2,16/09/2009
